"COM
COD",COURSE NO.,COURSE TITLE,"CREDIT
L   P   U","S E
CE G615,EARTHQUAKE ENGINEERING,3,1,4,1,MOHAN S C,M W F,2,
,Practical,,,,,Mohan S C,T,89,
CE G616,BRIDGE ENGINEERING,3,1,4,1,PN RAO,T Th S,5,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
"COURSE
NO.",COURSE TITLE,"CREDIT
L P U",,,"S E
C","INSTRUCTOR-IN-CHARGE/
Instructor",DAYS,HOURS,
,Practical,,,,,PN Rao,Th,89,
CHE F241,HEAT TRANSFER,3,-,3,1,IYMAN ABRAR,M W F,2,
,,,,,,Afkham Mir,,,
,Tutorial,,,,,Iyman Abrar,T,1,
,,,,,,Afkham Mir,,,
,,,,,,P Saikiran,,,
CHE F242,NUM METHOD FOR CHEM ENGG,3,-,3,1,VIKRANT KUMAR S,M W F,3,
,Tutorial,,,,,Vikrant Kumar S,Th,1,
CHE F243,"MATERIAL SCIENCE &
ENGINEERING",3,-,3,1,DEBIRUPA MITRA,T Th,9,
,,,,,,Debirupa Mitra,F,10,
,Tutorial,,,,,Debirupa Mitra,S,1,
,,,,,,Madhusmita Sahoo,,,
CHE F244,SEPARATION PROCESSES I,3,-,3,1,BALAJI KRISHNAMURTHY,T Th S,4,
,Tutorial,,,,,Balaji Krishnamurthy,M,6,
CHE F266,STUDY PROJECT,-,-,3,1,RAMENDRA KISHOR PAL,,,
CHE F341,CHEMICAL ENGG LAB II,-,3,3,1,SATYAPAUL SINGH AMART,M W,678,
,,,,,,Afkham Mir,,,
,,,,,,C Jhansi,,,
,,,,,,Dubbaka Vidya,,,
,,,,,,Karthik Chetan,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
"COURSE
NO.",COURSE TITLE,"CREDIT
L P U",,,"S E
C","INSTRUCTOR-IN-CHARGE/
Instructor",DAYS,HOURS,
,,,,,,Nandini Bhandaru,,,
,,,,,,Sadamanti Sireesha,,,
,,,,,,Suresh Kanuri,,,
CHE F342,PROCESS DYN & CONTROL,3,-,3,1,JAIDEEP CHATTERJEE,M W F,9,
,Tutorial,,,,,Jaideep Chatterjee,M,1,
,,,,,,Vadlakonda Ravi Kiran Varm,,,
CHE F343,PROCESS DES PRINCIPLE II,3,-,3,1,ARNAB DUTTA,T Th S,5,
,,,,,,Satyapaul Singh Amarthaluri,,,
,Tutorial,,,,,Arnab Dutta,W,1,
,,,,,,Malayanur Srilekha,,,
,,,,,,Satyapaul Singh Amarthaluri,,,
CHE F366,LABORATORY PROJECT,-,-,3,1,DEBIRUPA MITRA,,,
CHE F367,LABORATORY PROJECT,-,-,3,1,DEBIRUPA MITRA,,,
CHE F376,DESIGN PROJECT,-,-,3,1,SATYAPAUL SINGH AMART,,,
CHE F377,DESIGN PROJECT,-,-,3,1,SATYAPAUL SINGH AMART,,,
CHE F412,PROCESS EQUIPMENT DESIGN,3,-,3,1,RAMESH BABU A,M W F,3,
,,,,,,Gulipalli Pallavi,,,
CHE F419,CHEMICAL PROCESS TECH,3,-,3,1,RAMENDRA KISHOR PAL,M W F,2,
CHE F498,"COLLOIDS AND INTERFACE
ENGINEERING",3,-,3,1,JAIDEEP CHATTERJEE,T Th S,3,
,,,,,,Ramendra Kishor Pal,,,Unnamed: 9
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
"COURSE
NO.",COURSE TITLE,"CREDIT
L P U",,,"S E
C","INSTRUCTOR-IN-CHARGE/
Instructor",DAYS,HOURS,
CHE G522,POLYMER TECHNOLOGY,3,1,4,1,D PURNIMA,T Th S,1 3,
,Practical,,,,,D Purnima,T,89,
,,,,,,Jashaswinee Swain,,,
CHE G552,ADV TRANSPORT PHENOMENA,-,-,5,1,BALAJI KRISHNAMURTHY,M W F,4,
,,,,,,Nandini Bhandaru,,,
CHE G641,REACTION ENGINEERING,3,2,5,1,SRIKANTA DINDA,M W F,5,
,,,,,,Iyman Abrar,,,
,Practical,,,,,Srikanta Dinda,F,789,
,,,,,,Iyman Abrar,,,
CHEM F223,COLLOID & SURFACE CHEM,3,-,3,1,RAMAKRISHNAN G,T Th S,2,
CHEM F241,INORGANIC CHEMISTRY II,3,-,3,1,HIMANSHU AGGARWAL,M W F,2,
,,,,,,Sounak Roy,,,
,Tutorial,,,,,Himanshu Aggarwal,S,1,
,,,,,,Sounak Roy,,,
CHEM F242,CHEMICAL EXPER I,-,3,3,1,ARIJIT MUKHERJEE,T Th,8910,
,,,,,,Nilanjan Dey,,,
,,,,,,Ronak Lazarus,,,
,,,,,,Soumen Khan,,,
CHEM F243,ORGANIC CHEMISTRY II,3,-,3,1,MANAB CHAKRAVARTY,M W F,3,
,,,,,,Arijit Mukherjee,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
"COURSE
NO.",COURSE TITLE,"CREDIT
L P U",,,"S E
C","INSTRUCTOR-IN-CHARGE/
Instructor",DAYS,HOURS,
,Tutorial,,,,,Manab Chakravarty,M,6,
,,,,,,Arijit Mukherjee,,,
CHEM F244,PHYSICAL CHEMISTRY III,3,-,3,1,K SUMITHRA,T Th S,4,
,Tutorial,,,,,K Sumithra,W,6,
CHEM F266,STUDY PROJECT,-,-,3,1,DURBA ROY,,,
CHEM F329,ANALYTICAL CHEMISTRY,3,1,4,1,N RAJESH,T Th S,3,
,Practical,,,,,N Rajesh,M,1011,
CHEM F336,NANOCHEMISTRY,3,1,4,1,BALAJI GOPALAN,M W F,7,
,Practical,,,,,Balaji Gopalan,T,67,
CHEM F341,CHEMICAL EXPER II,-,4,4,1,SATYA NARAYAN GUIN,W F,678,
,,,,,,ANIL KUMAR B M,,,
,,,,,,Dyagala Shalini,,,
,,,,,,Subit Kumar Saha,,,
CHEM F342,ORGANIC CHEMISTRY IV,3,-,3,1,ANUPAM BHATTACHARYA,T Th S,3,
,Tutorial,,,,,Anupam Bhattacharya,M,8,
CHEM F343,INORGANIC CHEMISTRY III,3,-,3,1,R KRISHNAN,M W F,1 8,
,Tutorial,,,,,R Krishnan,W,1,
CHEM F366,LABORATORY PROJECT,-,-,3,1,ANUPAM BHATTACHARYA,,,
