"COM
COD",COURSE NO.,COURSE TITLE,"CREDIT
L   P   U","S E
PHA F414,BIOPHARMACEUTICS,3,-,3,1,NIRMAL J,T Th S,1 1,
PHA F417,PHARMACOECONOMICS,3,-,3,1,ABHIJEET RAJENDRA JOS,M W F,2,
PHA G532,Q A & REGULATORY AFFAIRS,3,2,5,1,AKASH C,M W F,4,
,Practical,,,,,Akash C,T,78910,
,,,,,,Panchal Kanan Jayesh Pann,,,
,,,,,,Sonali Singh,,,
PHA G546,"PHARMACEUTICAL BIO
STATISTICS",3,-,3,1,R PUNNA RAO,T Th S,4,
PHA G611,ADVANCED PHARMACOLOGY,2,3,5,1,ARTI DHAR,T Th S,5,
,,,,,,Onkar Kulkarni,,,
,Practical,,,,,Arti Dhar,Th,78910,
,,,,,,Ashutosh Balasaheb Mahale,,,
,,,,,,Onkar Kulkarni,,,
,,,,,,Wadkar Avinash Rudrappa,,,
PHA G612,PHARM KINET & CLINIC PHA,3,2,5,1,R PUNNA RAO,M W F,3,
,Practical,,,,,R Punna Rao,M,1 17,
,,,,,,Mohd Shareef Khan,,,
,,,,,,Swagata Sinha,,,
PHA G617,ADV DRUG DELIVERY SYSTEM,3,2,5,1,SWATI BISWAS,T Th S,2,
,Practical,,,,,Swati Biswas,W,78910,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
"COURSE
NO.",COURSE TITLE,"CREDIT
L P U",,,"S E
C","INSTRUCTOR-IN-CHARGE/
Instructor",DAYS,HOURS,
,,,,,,Asif Mohd Itoo,,,
,,,,,,Milan Paul,,,
,,,,,,Parameswar Patra,,,
PHA G624,PRINCIPLES OF TOXICOLOGY,-,-,5,1,SRINIVAS PRASAD K,M W F,5,
,,,,,,Abhijeet Rajendra Joshi,,,
PHY F215,INTRO TO ASTRO & ASTROPH,3,-,3,1,SUBASH N. KARBELKAR,M W F,2,
PHY F241,ELECTROMAGNETIC THEORY II,3,1,4,1,SASHIDEEP GUTTI,M W F,2,
,,,,,,Sarmistha Banik,,,
,Tutorial,,,,,Sarmistha Banik,S,1,Unnamed: 9
,,,,,,Sashideep Gutti,,,
PHY F242,QUANTUM MECHANICS I,3,-,3,1,ASRARUL HAQUE,T Th,9,
,,,,,,Asrarul Haque,F,10,
,Tutorial,,,,,Asrarul Haque,T,12 31,
PHY F243,"MATHEMATICAL METHODS OF
PHYSICS",3,-,3,1,SWASTIK BHATTACHARYA,T Th S,4,
,Tutorial,,,,,Swastik Bhattacharya,Th,1,
PHY F244,MODERN PHYSICS LAB,-,2,2,1,MEENAKSHI V,M W,67,
,,,,,,Aiswarya N M,,,
,,,,,,Aravinda N Raghavan,,,
,,,,,,Hiwase Prajakta Mohanrao,,,
,,,,,2,Aravinda N Raghavan,T Th,67,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
"COURSE
NO.",COURSE TITLE,"CREDIT
L P U",,,"S E
C","INSTRUCTOR-IN-CHARGE/
Instructor",DAYS,HOURS,
,,,,,,Aiswarya N M,,,
,,,,,,Hiwase Prajakta Mohanrao,,,
,,,,,,Meenakshi V,,,
PHY F266,STUDY PROJECT,-,-,3,1,SUBRAHMANYA BHIMA SA,,,
PHY F315,THEORY OF RELATIVITY,3,-,3,1,SASHIDEEP GUTTI,T Th S,4,
PHY F341,SOLID STATE PHYSICS,3,-,3,1,ARAVINDA N RAGHAVAN,T Th S,1 1 1900,
,Tutorial,,,,,Aravinda N Raghavan,F,8,
PHY F342,ATOMIC & MOLECULAR PHY,3,-,3,1,ARANYA BHUTI BHATTACH,M W F,9,
,Tutorial,,,,,Aranya Bhuti Bhattacherjee,W,1,
PHY F343,NUCLEAR & PARTICLE PHY,3,-,3,1,RAHUL NIGAM,M W F,4,
,,,,,,Asrarul Haque,,,
,Tutorial,,,,,Rahul Nigam,W,8,
,,,,,,Asrarul Haque,,,
PHY F344,ADVANCED PHYSICS LAB,-,3,3,1,KANNAN RAMASWAMY,T Th,678,
,,,,,,B Harihara Venkataraman,,,
,,,,,,Nilofar Naaz,,,
,,,,,,Subrahmanya Bhima Sankar,,,
PHY F366,LABORATORY PROJECT,3,-,3,1,SUBRAHMANYA BHIMA SA,,,
PHY F367,LABORATORY PROJECT,-,-,3,1,SUBRAHMANYA BHIMA SA,,,
PHY F376,DESIGN PROJECT,3,-,3,1,SUBRAHMANYA BHIMA SA,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
"COURSE
NO.",COURSE TITLE,"CREDIT
L P U",,,"S E
C","INSTRUCTOR-IN-CHARGE/
Instructor",DAYS,HOURS,
PHY F377,DESIGN PROJECT,-,-,3,1,SUBRAHMANYA BHIMA SA,,,
PHY F379,THIN FILM TECHNOLOGY,3,-,3,1,B HARIHARA VENKATARA,T Th S,3,
,,,,,,VSN Murthy,,,
PHY F412,INTRO TO QUAN FIELD THEO,3,1,4,1,PRASANT SAMANTRAY,M W F,7,
PHY F422,"GROUP THEORY AND
APPLICATIONS",3,-,3,1,RAHUL NIGAM,T Th S,2,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
HSS F318,INTRO TO ANTHROPOLOGY,3,-,3,1,SUCHISMITA SATPATHY,T Th S,2,
,,,,,,,,,
"COM
COD",COURSE NO.,COURSE TITLE,"CREDIT
L   P   U","S E
C","INSTRUCTOR-IN-CHARGE/
Instructor",DAYS,HOURS,Unnamed: 8,Unnamed: 9
,,,,,,,,,
HSS F325,CINEMATIC ADAPTATION,3,-,3,1,SHILPAA ANAND,T Th S,2,
,,,,,,,,,
HSS F334,SRIMAD BHAGAVAD GITA,3,-,3,1,ARUNA LOLLA,M W F,9,
,,,,,,,,,
HSS F337,"ENGLISH LITERARY FORMS AND
MOVEMENTS",3,-,3,1,MG PRASUNA,T Th S,3,
,,,,,,,,,
,,,,,,S Saritha Sasidharan,,,
,,,,,,,,,
HSS F338,COMPARATIVE INDIAN LIT,3,-,3,1,MG PRASUNA,M W F,5,
,,,,,,,,,
HSS F340,POST COLONIAL LITERATURE,3,-,3,1,MAYA VINAY,T Th S,3,
,,,,,,,,,
HSS F362,"LOCAL GOVERNANCE AND
PARTICIPATION",3,-,3,1,LAVANYA SURESH,T Th S,2,
,,,,,,,,,
HSS F363,DISASTER AND DEVELOPMENT,3,-,3,1,BISWANATH DASH,T Th S,5,
,,,,,,,,,
,,,,,,Manomita Das,,,
,,,,,,,,,
HSS F365,SCIENCE OF SUSTAINABLE HAPPINESS,3,-,3,1,ARUNA LOLLA,T Th S,3,
,,,,,,,,,
INSTR F212,ELECTROMAGNETIC THEORY I,3,-,3,1,PK THIRUVIKRAMAN,T Th S,4,
,,,,,,,,,
,,,,,2,Kannan Ramaswamy,T Th S,4,
,,,,,,,,,
,,,,,3,Sarmistha Banik,T Th S,4,
,,,,,,,,,
,,,,,4,Subash N. Karbelkar,T Th S,4,
,,,,,,,,,
,,,,,5,Subrahmanya Bhima Sankar,T Th S,4,
,,,,,,,,,
,Tutorial,,,,1,PK Thiruvikraman,S,1,
,,,,,,,,,
,,,,,2,Kannan Ramaswamy,S,1,
,,,,,,,,,
,,,,,3,Sarmistha Banik,S,1,
,,,,,,,,,
,,,,,4,Subash N. Karbelkar,S,1,
,,,,,,,,,
,,,,,5,Subrahmanya Bhima Sankar,S,1,
,,,,,,,,,
INSTR F214,ELECTRONIC DEVICES,3,-,3,1,SAYAN KANUNGO,M W F,2,
,,,,,,,,,
,,,,,,Debapriya Som,,,
,,,,,,,,,
,,,,,2,Souvik Kundu,M W F,2,
,,,,,,,,,
,,,,,,Priyanka B G,,,
,,,,,,,,,
,Tutorial,,,,1,Sayan Kanungo,T,1,
,,,,,,,,,
"COM
COD",COURSE NO.,COURSE TITLE,"CREDIT
L   P   U","S E
C","INSTRUCTOR-IN-CHARGE/
Instructor",DAYS,HOURS,Unnamed: 8,Unnamed: 9
,,,,,,,,,
,,,,,2,Souvik Kundu,T,1,
,,,,,,,,,
,,,,,3,Souvik Kundu,Th,9,
,,,,,,,,,
,,,,,4,Parikshit Parshuram Sahatiy,Th,9,
,,,,,,,,,
INSTR F215,DIGITAL DESIGN,3,1,4,1,SANJAY VIDHYADHARAN,T Th S,5,
,,,,,,,,,
,,,,,2,Ankur Bhattacharjee,T Th S,5,
,,,,,,,,,
,Practical,,,,1,Sanjay Vidhyadharan,M,7 8,
,,,,,,,,,
,,,,,,E Prasanth Kumar,,,
,,,,,,,,,
,,,,,,Mary Vallankanni Manik,,,
,,,,,,,,,
,,,,,2,Sanjay Vidhyadharan,W,7 8,
,,,,,,,,,
,,,,,,E Prasanth Kumar,,,
,,,,,,,,,
,,,,,,Mary Vallankanni Manik,,,
,,,,,,,,,
,,,,,3,Ankur Bhattacharjee,F,7 8,
,,,,,,,,,
,,,,,,P Joshna,,,
,,,,,,,,,
,,,,,4,Ankur Bhattacharjee,S,2 3,
,,,,,,,,,
,,,,,,P Joshna,,,
,,,,,,,,,
,,,,,5,BVVSN Prabhakar Rao,T,2 3,
,,,,,,,,,
,,,,,,Sravankumar Vittapu,,,
,,,,,,,,,
,,,,,6,S K Sahoo,Th,2 3,
,,,,,,,,,
,,,,,,Sravankumar Vittapu,,,
,,,,,,,,,
,,,,,7,Soumya J,Th,7 8,
,,,,,,,,,
,,,,,,Nawin Ra,,,
,,,,,,,,,
,,,,,,Prakash Palasram R,,,
,,,,,,,,,
,,,,,8,S K Chatterjee,Th,7 8,
,,,,,,,,,
,,,,,,Nawin Ra,,,
,,,,,,,,,
,,,,,,Prakash Palasram R,,,
,,,,,,,,,
,,,,,9,Amit  Kumar Panda,M,7 8,
,,,,,,,,,
,,,,,,Samala Jagadheesh,,,
,,,,,,,,,
"COM
COD",COURSE NO.,COURSE TITLE,"CREDIT
L   P   U","S E
C","INSTRUCTOR-IN-CHARGE/
Instructor",DAYS,HOURS,Unnamed: 8,Unnamed: 9
,,,,,,,,,
,,,,,10,Amit  Kumar Panda,W,7 8,
,,,,,,,,,
,,,,,,Samala Jagadheesh,,,
,,,,,,,,,
,,,,,11,Sayan Kanungo,T,7 8,
,,,,,,,,,
,,,,,,R Venkata Sravya,,,
,,,,,,,,,
,,,,,12,Souvik Kundu,F,7 8,
,,,,,,,,,
,,,,,,R Venkata Sravya,,,
,,,,,,,,,
,,,,,13,Souvik Kundu,Th,2 3,
,,,,,,,,,
,,,,,,Naveen Bokka,,,
,,,,,,,,,
,,,,,14,Syed Ershad Ahmed,T,7 8,
,,,,,,,,,
,,,,,,Naveen Bokka,,,
,,,,,,,,,
,,,,,15,Harish Vijay Dixit,S,2 3,
,,,,,,,,,
,,,,,,Priyalatha. P,,,
,,,,,,,,,
,,,,,16,Amit Ranjan Azad,T,2 3,
,,,,,,,,,
,,,,,,Priyalatha. P,,,
,,,,,,,,,
,Tutorial,,,,1,Sanjay Vidhyadharan,T,1,
,,,,,,,,,
,,,,,2,Sanjay Vidhyadharan,Th,1,
,,,,,,,,,
,,,,,3,Ankur Bhattacharjee,T,1,
,,,,,,,,,
,,,,,4,Ankur Bhattacharjee,Th,1,
,,,,,,,,,
,,,,,5,Karumbaiah Chappanda Nan,T,1,
,,,,,,,,,
,,,,,6,Karumbaiah Chappanda Nan,Th,1,
,,,,,,,,,
,,,,,7,Soumya J,T,1,
,,,,,,,,,
,,,,,8,Surya Shankar Dan,Th,1,
,,,,,,,,,
INSTR F242,CONTROL SYSTEMS,3,-,3,1,ALIVELU MANGA PARIMI,M W F,4,
,,,,,,,,,
,,,,,,P Shambhu Prasad,,,
,,,,,,,,,
,,,,,2,Mithun Mondal,M W F,4,
,,,,,,,,,
,,,,,,Gopal Krishna Kamath M,,,
,,,,,,,,,
,,,,,,Renuka Loka,,,
,,,,,,,,,
"COM
COD",COURSE NO.,COURSE TITLE,"CREDIT
L   P   U","S E
C","INSTRUCTOR-IN-CHARGE/
Instructor",DAYS,HOURS,Unnamed: 8,Unnamed: 9
,,,,,,,,,
,Tutorial,,,,1,Alivelu Manga Parimi,W,1,
,,,,,,,,,
,,,,,2,Alivelu Manga Parimi,Th,9,
,,,,,,,,,
,,,,,3,Alivelu Manga Parimi,Th,1,
,,,,,,,,,
,,,,,4,Gopal Krishna Kamath M,W,1,
,,,,,,,,,
INSTR F243,SIGNALS & SYSTEMS,3,-,3,1,BVVSN PRABHAKAR RAO,M W F,3,
,,,,,,,,,
,,,,,,Manoj Samal,,,
,,,,,,,,,
,,,,,2,Pratyush Chakraborty,M W F,3,
,,,,,,,,,
,,,,,,Ramakant,,,
,,,,,,,,,
,,,,,,Sarda Sharma,,,
,,,,,,,,,
,Tutorial,,,,1,BVVSN Prabhakar Rao,W,1,
,,,,,,,,,
,,,,,2,BVVSN Prabhakar Rao,Th,9,
,,,,,,,,,
,,,,,3,Pratyush Chakraborty,W,1,
,,,,,,,,,
,,,,,4,Ramakant,Th,1,
,,,,,,,,,
INSTR F266,STUDY PROJECT,-,-,3,1,STP SRINIVAS,,,
,,,,,,,,,
INSTR F312,TRANSD & MEASUREMENT TEC,3,-,3,1,KARUMBAIAH CHAPPANDA,M W F,8,
,,,,,,,,,
,Tutorial,,,,,Karumbaiah Chappanda Nan,F,1,
,,,,,,,,,
INSTR F313,ANALOG & DIGITAL VLSI DES,3,-,3,1,SYED ERSHAD AHMED,T Th S,2,
,,,,,,,,,
,,,,,2,Saroj Mondal,T Th S,2,
,,,,,,,,,
,Tutorial,,,,1,Syed Ershad Ahmed,M,1,
,,,,,,,,,
,,,,,2,Syed Ershad Ahmed,Th,7,
,,,,,,,,,
INSTR F341,ANALOG ELECTRONICS,3,1,4,1,PONNALAGU R N,T Th S,3,
,,,,,,,,,
,Practical,,,,,Ponnalagu R N,M,6 7,
,,,,,,,,,
,Tutorial,,,,,Ponnalagu R N,T,1,
,,,,,,,,,
INSTR F343,INDUS INSTRUMENT & CONT,3,-,3,1,BALASUBRAMANIAN M,M W F,9,
,,,,,,,,,
,Tutorial,,,,,Balasubramanian M,W,1,
,,,,,,,,,
INSTR F366,LABORATORY PROJECT,-,-,3,1,PARIKSHIT PARSHURAM S,,,
,,,,,,,,,
INSTR F367,LABORATORY PROJECT,-,-,3,1,PARIKSHIT PARSHURAM S,,,
,,,,,,,,,
"COM
COD",COURSE NO.,COURSE TITLE,"CREDIT
L   P   U","S E
C","INSTRUCTOR-IN-CHARGE/
Instructor",DAYS,HOURS,Unnamed: 8,Unnamed: 9
,,,,,,,,,
INSTR F376,DESIGN PROJECT,-,-,3,1,KARUMBAIAH CHAPPANDA,,,
,,,,,,,,,
INSTR F377,DESIGN PROJECT,-,-,3,1,KARUMBAIAH CHAPPANDA,,,
,,,,,,,,,
MATH F111,MATHEMATICS I,3,-,3,7,A Michael Alphonse,T Th S,3,
,,,,,,,,,
,Tutorial,,,,1,A Michael Alphonse,M,10,
,,,,,,,,,
MATH F211,MATHEMATICS III,3,-,3,1,B Mishra,M W F,5,
,,,,,,,,,
,,,,,,Anil Nemili,,,
,,,,,,,,,
,,,,,2,PK Sahoo,M W F,5,
,,,,,,,,,
,,,,,,Kishore Kumar,,,
,,,,,,,,,
,,,,,3,TSL Radhika,M W F,9,
,,,,,,,,,
,,,,,,Nirman Ganguly,,,
,,,,,,,,,
,,,,,4,SANTANU KOLEY,M W F,5,
,,,,,,,,,
,,,,,,PTV Praveen Kumar,,,
,,,,,,,,,
,,,,,5,Jagan Mohan J,M W F,9,
,,,,,,,,,
,,,,,,K Bhargav Kumar,,,
,,,,,,,,,
,,,,,6,Sabyasachi Dey,M W F,9,
,,,,,,,,,
,,,,,,A Ramu,,,
,,,,,,,,,
,Tutorial,,,,1,B Mishra,T,9,
,,,,,,,,,
,,,,,,Anil Nemili,,,
,,,,,,,,,
,,,,,,K Panduranga,,,
,,,,,,,,,
,,,,,2,PK Sahoo,T,9,
,,,,,,,,,
,,,,,,Kishore Kumar,,,
,,,,,,,,,
,,,,,,Kshma Trivedi,,,
,,,,,,,,,
,,,,,3,TSL Radhika,T,9,
,,,,,,,,,
,,,,,,N S Gopal,,,
,,,,,,,,,
,,,,,,Nirman Ganguly,,,
,,,,,,,,,
,,,,,4,Santanu Koley,T,9,
,,,,,,,,,
,,,,,,PTV Praveen Kumar,,,
,,,,,,,,,
"COM
COD",COURSE NO.,COURSE TITLE,"CREDIT
L   P   U","S E
C","INSTRUCTOR-IN-CHARGE/
Instructor",DAYS,HOURS,Unnamed: 8,Unnamed: 9
,,,,,,,,,
,,,,,,Simran Arora,,,
,,,,,,,,,
,,,,,5,Jagan Mohan J,T,9,
,,,,,,,,,
,,,,,,K Bhargav Kumar,,,
,,,,,,,,,
,,,,,,Sanjay Mandal,,,
,,,,,,,,,
,,,,,,Tusharakanta Pradhan,,,
,,,,,,,,,
,,,,,6,Sabyasachi Dey,T,9,
,,,,,,,,,
,,,,,,A Ramu,,,
,,,,,,,,,
,,,,,,Sri Sakti Swarup Anupindi,,,
,,,,,,,,,
MATH F212,OPTIMIZATION,3,-,3,1,PK Sahoo,M W F,9,
,,,,,,,,,
,,,,,,V Venkata Hara Gopal,,,
,,,,,,,,,
,,,,,2,SUMIT KUMAR V,M W F,2,
,,,,,,,,,
,,,,,,PTV Praveen Kumar,,,
,,,,,,,,,
,Tutorial,,,,1,PK Sahoo,T,7,
,,,,,,,,,
,,,,,,V Venkata Hara Gopal,,,
,,,,,,,,,
,,,,,2,PTV Praveen Kumar,T,7,
,,,,,,,,,
,,,,,,Sumit Kumar V,,,
,,,,,,,,,
MATH F213,DISCRETE MATHEMATICS,3,-,3,1,B MISHRA,T Th S,4,
,,,,,,,,,
,,,,,,Nirman Ganguly,,,
,,,,,,,,,
,Tutorial,,,,,B Mishra,Th,9,
,,,,,,,,,
,,,,,,Nirman Ganguly,,,
,,,,,,,,,
MATH F214,ELEMENTARY REAL ANALYSIS,3,-,3,1,MANISH KUMAR,M W F,3,
,,,,,,,,,
,,,,,,Jhuma Sen Gupta,,,
,,,,,,,,,
,Tutorial,,,,,Jhuma Sen Gupta,Th,1,
,,,,,,,,,
MATH F215,ALGEBRA I,3,-,3,1,PRATYUSHA CHATTOPADH,T Th S,5,
,,,,,,,,,
,,,,,,Santanu Koley,,,
,,,,,,,,,
,Tutorial,,,,,Santanu Koley,Th,8,
,,,,,,,,,
,,,,,,Pratyusha Chattopadhyaa,,,
,,,,,,,,,
"COM
COD",COURSE NO.,COURSE TITLE,"CREDIT
L   P   U","S E
C","INSTRUCTOR-IN-CHARGE/
Instructor",DAYS,HOURS,Unnamed: 8,Unnamed: 9
,,,,,,,,,
MATH F231,NUMBER THEORY,3,-,3,1,DEBOPAM CHAKRABORTH,M W F,7,
,,,,,,,,,
MATH F266,STUDY PROJECT,-,-,3,1,MANISH KUMAR,,,
,,,,,,,,,
MATH F311,INTRODUCTION TO TOPOLOGY,3,-,3,1,SHARAN GOPAL,M W F,9,
,,,,,,,,,
,,,,,,Deepika,,,
,,,,,,,,,
,Tutorial,,,,,Sharan Gopal,T,8,
,,,,,,,,,
,,,,,,Deepika,,,
,,,,,,,,,
MATH F312,ORDINARY DIFF EQUATIONS,3,-,3,1,G MURALI MOHAN REDDY,M W F,5,
,,,,,,,,,
,,,,,,K Bhargav Kumar,,,
,,,,,,,,,
,Tutorial,,,,,K Bhargav Kumar,T,7,
,,,,,,,,,
,,,,,,G Murali Mohan Reddy,,,
,,,,,,,,,
MATH F313,NUMERICAL ANALYSIS,3,-,3,1,A RAMU,M W F,4,
,,,,,,,,,
,,,,,,TSL Radhika,,,
,,,,,,,,,
,Tutorial,,,,,TSL Radhika,Th,8,
,,,,,,,,,
,,,,,,A Ramu,,,
,,,,,,,,,
MATH F366,LABORATORY PROJECT,-,-,3,1,PTV PRAVEEN KUMAR,,,
,,,,,,,,,
MATH F367,LABORATORY PROJECT,-,-,3,1,PTV PRAVEEN KUMAR,,,
,,,,,,,,,
MATH F376,DESIGN PROJECT,-,-,3,1,TSL RADHIKA,,,
,,,,,,,,,
MATH F377,DESIGN PROJECT,-,-,3,1,TSL RADHIKA,,,
,,,,,,,,,
MATH F421,COMBINATORIAL MATHEMATICS,3,-,3,1,SABYASACHI DEY,M W F,3,
,,,,,,,,,
MATH F432,APPLIED STATISTICAL METHODS,3,-,3,1,V VENKATA HARA GOPAL,M W F,2,
,,,,,,,,,
MATH F441,DISCRETE MATHS STRUC,5,-,5,1,A MICHAEL ALPHONSE,M W F,2,
,,,,,,,,,
MATH G521,APPLIED FUNCTIONAL ANALYSIS,5,-,5,1,KISHORE KUMAR,M W F,2,
,,,,,,,,,
ME F211,MECHANICS OF SOLIDS,3,-,3,1,AMIT KUMAR GUPTA,M W F,3,
,,,,,,,,,
,Tutorial,,,,1,Sangam Srikanth,T,1,
,,,,,,,,,
,,,,,2,J Murali Mohan,T,1,
,,,,,,,,,
,,,,,3,Akhil Bhardwaj,T,1,
,,,,,,,,,
,,,,,4,Amit Kumar Gupta,T,1,
,,,,,,,,,
"COM
COD",COURSE NO.,COURSE TITLE,"CREDIT
L   P   U","S E
C","INSTRUCTOR-IN-CHARGE/
Instructor",DAYS,HOURS,Unnamed: 8,Unnamed: 9
,,,,,,,,,
ME F212,FLUID MECHANICS,3,-,3,1,SUPRADEEPAN K,T Th S,5,
,,,,,,,,,
,Tutorial,,,,1,V Venkateswara Rao,Th,9,
,,,,,,,,,
,,,,,2,Deepak Nabapure,Th,9,
,,,,,,,,,
,,,,,3,Kalyani Panigrahi,Th,9,
,,,,,,,,,
,,,,,4,Supradeepan K,Th,9,
,,,,,,,,,
ME F213,MATERIALS SCIENCE & ENGG,2,-,2,1,SUJITH R,M W,2,
,,,,,,,,,
,Tutorial,,,,1,Jella Gangadhar,F,2,
,,,,,,,,,
,,,,,2,Amar S D,F,2,
,,,,,,,,,
,,,,,3,Ankit Sharma,F,2,
,,,,,,,,,
,,,,,4,Sujith R,F,2,
,,,,,,,,,
ME F214,APPLIED THERMODYNAMICS,3,-,3,1,SATISH K DUBEY,T Th S,4,
,,,,,,,,,
,Tutorial,,,,1,A Uday Kumar,S,1,
,,,,,,,,,
,,,,,2,Sunkara Prudhvi Raj,S,1,
,,,,,,,,,
,,,,,3,R Naresh,S,1,
,,,,,,,,,
,,,,,4,Satish K Dubey,S,1,
,,,,,,,,,
ME F242,IC ENGINES,2,-,2,1,N JALAIAH,M W,8,
,,,,,,,,,
,Tutorial,,,,1,N Jalaiah,F,8,
,,,,,,,,,
,,,,,2,B Sravya,F,8,
,,,,,,,,,
,,,,,3,P Ankamma Rao,F,8,
,,,,,,,,,
,,,,,4,K Sanjay,F,8,
,,,,,,,,,
ME F266,STUDY PROJECT,-,-,3,1,SUJITH R,,,
,,,,,,,,,
ME F312,ADV MECHANICS OF SOLIDS,3,-,3,1,PAVAN KUMAR P,M W F,4,
,,,,,,,,,
,Tutorial,,,,1,Srinivasa Murali Kartheek S,M,1,
,,,,,,,,,
,,,,,2,P  Chennakesava Sai,M,1,
,,,,,,,,,
,,,,,3,Pavan Kumar P,M,1,
,,,,,,,,,
,,,,,4,Jose Santo,M,1,
,,,,,,,,,
ME F342,COMPUTER AIDED DESIGN,3,1,4,1,SP REGALLA,M W F,8,
,,,,,,,,,
"COM
COD",COURSE NO.,COURSE TITLE,"CREDIT
L   P   U","S E
C","INSTRUCTOR-IN-CHARGE/
Instructor",DAYS,HOURS,Unnamed: 8,Unnamed: 9
,,,,,,,,,
,Practical,,,,1,Gandla Praveen Kumar,M,6 7,
,,,,,,,,,
,,,,,,P V Sai Divya,,,
,,,,,,,,,
,,,,,2,P V Sai Divya,W,6 7,
,,,,,,,,,
,,,,,,Chithajalu Kiran Sagar,,,
,,,,,,,,,
,,,,,3,Chithajalu Kiran Sagar,F,6 7,
,,,,,,,,,
,,,,,,Gandla Praveen Kumar,,,
,,,,,,,,,
,Tutorial,,,,1,SP Regalla,F,1,
,,,,,,,,,
,,,,,2,Veeraiahgari Vamshi,F,1,
,,,,,,,,,
,,,,,3,Lanka Tata Rao,F,1,
,,,,,,,,,
,,,,,4,Kolla Lakshman Rao,F,1,
,,,,,,,,,
ME F343,MECHANICAL VIBRATIONS,3,-,3,1,BRAJESH KUMAR PANIGR,M W F,9,
,,,,,,,,,
,Tutorial,,,,1,Brajesh Kumar Panigrahi,W,1,
,,,,,,,,,
,,,,,2,YV Daseswara Rao,W,1,
,,,,,,,,,
ME F366,LABORATORY PROJECT,-,-,3,1,AMRITHA PRIYADARSHINI,,,
,,,,,,,,,
ME F367,LABORATORY PROJECT,-,-,3,1,AMRITHA PRIYADARSHINI,,,
,,,,,,,,,
ME F376,DESIGN PROJECT,-,-,3,1,NITIN RAMESH K,,,
,,,,,,,,,
ME F377,DESIGN PROJECT,-,-,3,1,NITIN RAMESH K,,,
,,,,,,,,,
ME F414,FUEL CELL SCIENCE AND TECHNOLOGY,3,-,3,1,SUJITH R,T Th S,2,
,,,,,,,,,
,,,,,,Prabakaran Saravanan,,,
,,,,,,,,,
ME F418,"ROCKET AND SPACECRAFT
PROPULSION",3,-,3,1,SUPRADEEPAN K,T Th S,2,
,,,,,,,,,
ME F424,ENERGY MANAGEMENT,3,-,3,1,S S DESHMUKH,T Th S,4,
,,,,,,,,,
ME F425,ADDITIVE MANUFACTURING,3,-,3,1,SP REGALLA,T Th S,4,
,,,,,,,,,
ME F426,INDUSTRY 4.0 IN MANUFACTURING,3,-,3,1,N SURESH KUMAR REDDY,T Th S,5,
,,,,,,,,,
,,,,,,Amit Kumar Gupta,,,
,,,,,,,,,
,,,,,,Kundan Kumar Singh,,,
,,,,,,,,,
"COM
COD",COURSE NO.,COURSE TITLE,"CREDIT
L   P   U","S E
C","INSTRUCTOR-IN-CHARGE/
Instructor",DAYS,HOURS,Unnamed: 8,Unnamed: 9
,,,,,,,,,
,,,,,,Prabakaran Saravanan,,,
,,,,,,,,,
ME F432,COMPUTER AIDED MANUFACT,3,-,3,1,KURRA SURESH,T Th S,5,
,,,,,,,,,
ME F443,QUALI CONTRO ASSUR & REL,3,-,3,1,AMRITHA PRIYADARSHINI,T Th S,3,
,,,,,,,,,
ME G511,MECHANISMS & ROBOTICS,2,3,5,1,YV DASESWARA RAO,T Th S,4,
,,,,,,,,,
,Practical,,,,,YV Daseswara Rao,W F,7 8 2009,
,,,,,,,,,
ME G512,FINITE ELEMENT METHOD,-,-,5,1,AMOL VUPPULURI,M W F,2,
,,,,,,,,,
,Practical,,,,,Pavandatta Jadhav,M,8 9,
,,,,,,,,,
ME G514,TURBOMACHINERY,3,2,5,1,JEEVAN JAIDI,M W F,2,
,,,,,,,,,
,Practical,,,,,Ramayee L,M F,8 9,
,,,,,,,,,
ME G516,ENERGY SYSTEMS ENGINEERING,-,-,5,1,S S DESHMUKH,M W F,3,
,,,,,,,,,
,Practical,,,,,S S Deshmukh,T Th,6 7,
,,,,,,,,,
,,,,,,Kandukuri Prudviraj,,,
,,,,,,,,,
ME G532,MACHINE TOOL ENGINEERING,3,2,5,1,KUNDAN KUMAR SINGH,M W F,2,
,,,,,,,,,
,Practical,,,,,Wankhede Pankaj Rambhau,M F,4 5,
,,,,,,,,,
ME G533,COND & RAD HEAT TRANSFER,-,-,5,1,SANTANU PRASAD DATTA,M W F,2,
,,,,,,,,,
,Practical,,,,,Y S Prasanna,M F,8 9,
,,,,,,,,,
ME G535,ADV ENGG MATHEMATICS,3,2,5,1,KRC MURTHY,T Th S,2,
,,,,,,,,,
,Practical,,,,,KRC Murthy,M W,4 5,
,,,,,,,,,
ME G536,THERMAL EQUIPMENT DESIGN,-,-,5,1,SANTANU PRASAD DATTA,T Th S,5,
,,,,,,,,,
,Practical,,,,,K Monika,W,4 5,
,,,,,,,,,
,,,,,,K Monika,W,9 10,
,,,,,,,,,
ME G537,CRYOGENIC ENGINEERING,-,-,5,1,R PARAMESHWARAN,T Th S,4,
